------------ Data Table File Created By Actigraph Link ActiLife v6.11.9 date format dd/MM/yyyy Filter Normal -----------,,,,,
Serial Number: TAS1D48140206,,,,,
Start Time 15:00:00,,,,,
Start Date 09-12-2017,,,,,
Epoch Period (hh:mm:ss) 00:00:01,,,,,
Download Time 15:29:44,,,,,
Download Date 09-19-2017,,,,,
Current Memory Address: 0,,,,,
Current Battery Voltage: 3.85     Mode = 13,,,,,
--------------------------------------------------,,,,,
TimeStamp,axis1,axis2,axis3,steps,vm
2017-09-12T15:00:00Z,0,0,0,0,0
2017-09-12T15:00:01Z,44,9,0,0,45
2017-09-12T15:00:02Z,113,9,29,1,118
2017-09-12T15:00:03Z,28,0,43,0,52
2017-09-12T15:00:04Z,53,3,41,0,68
2017-09-12T15:00:05Z,61,91,100,1,149
2017-09-12T15:00:06Z,3,24,42,0,49
2017-09-12T15:00:07Z,108,128,227,0,283
2017-09-12T15:00:08Z,51,49,97,1,121
2017-09-12T15:00:09Z,33,20,93,0,101
2017-09-12T15:00:10Z,70,0,4,0,71
2017-09-12T15:00:11Z,25,0,0,0,25
2017-09-12T15:00:12Z,42,9,19,0,47
2017-09-12T15:00:13Z,88,28,60,1,111
2017-09-12T15:00:14Z,3,0,0,0,3
2017-09-12T15:00:15Z,8,0,0,0,8
2017-09-12T15:00:16Z,0,0,0,0,0
2017-09-12T15:00:17Z,0,0,0,0,0
2017-09-12T15:00:18Z,0,0,0,0,0
2017-09-12T15:00:19Z,0,0,0,0,0
2017-09-12T15:00:20Z,0,0,0,0,0
2017-09-12T15:00:21Z,0,0,0,0,0
2017-09-12T15:00:22Z,0,0,0,0,0
2017-09-12T15:00:23Z,0,0,0,0,0
2017-09-12T15:00:24Z,0,0,0,0,0
2017-09-12T15:00:25Z,0,0,0,0,0
2017-09-12T15:00:26Z,0,0,0,0,0
2017-09-12T15:00:27Z,0,0,0,0,0
2017-09-12T15:00:28Z,0,0,0,0,0
2017-09-12T15:00:29Z,0,0,0,0,0
2017-09-12T15:00:30Z,0,0,0,0,0
2017-09-12T15:00:31Z,0,0,0,0,0
2017-09-12T15:00:32Z,0,0,0,0,0
2017-09-12T15:00:33Z,0,0,0,0,0
2017-09-12T15:00:34Z,0,0,0,0,0
2017-09-12T15:00:35Z,0,0,0,0,0
2017-09-12T15:00:36Z,0,0,0,0,0
2017-09-12T15:00:37Z,0,0,0,0,0
2017-09-12T15:00:38Z,0,0,0,0,0
2017-09-12T15:00:39Z,0,0,0,0,0
2017-09-12T15:00:40Z,0,0,0,0,0
2017-09-12T15:00:41Z,0,0,0,0,0
2017-09-12T15:00:42Z,60,0,21,1,64
2017-09-12T15:00:43Z,8,0,0,0,8
2017-09-12T15:00:44Z,0,0,0,0,0
2017-09-12T15:00:45Z,0,0,0,0,0
2017-09-12T15:00:46Z,0,0,0,0,0
2017-09-12T15:00:47Z,0,0,0,0,0
2017-09-12T15:00:48Z,0,0,0,0,0
2017-09-12T15:00:49Z,17,0,0,0,17
2017-09-12T15:00:50Z,0,0,0,0,0
2017-09-12T15:00:51Z,0,0,0,0,0
2017-09-12T15:00:52Z,0,0,0,0,0
2017-09-12T15:00:53Z,13,0,0,0,13
2017-09-12T15:00:54Z,7,0,0,0,7
2017-09-12T15:00:55Z,0,0,0,0,0
2017-09-12T15:00:56Z,0,0,0,0,0
2017-09-12T15:00:57Z,0,0,0,0,0
2017-09-12T15:00:58Z,0,0,0,0,0
2017-09-12T15:00:59Z,0,0,0,0,0
2017-09-12T15:01:00Z,0,0,0,0,0
2017-09-12T15:01:01Z,0,0,0,0,0
2017-09-12T15:01:02Z,0,0,0,0,0
2017-09-12T15:01:03Z,0,0,0,0,0
2017-09-12T15:01:04Z,0,0,0,0,0
2017-09-12T15:01:05Z,0,0,0,0,0
2017-09-12T15:01:06Z,0,0,0,0,0
2017-09-12T15:01:07Z,0,0,0,0,0
2017-09-12T15:01:08Z,0,0,0,0,0
2017-09-12T15:01:09Z,0,0,0,0,0
2017-09-12T15:01:10Z,0,0,0,0,0
2017-09-12T15:01:11Z,0,0,0,0,0
2017-09-12T15:01:12Z,0,0,0,0,0
2017-09-12T15:01:13Z,0,0,0,0,0
2017-09-12T15:01:14Z,0,0,0,0,0
2017-09-12T15:01:15Z,0,0,0,0,0
2017-09-12T15:01:16Z,0,0,0,0,0
2017-09-12T15:01:17Z,0,0,0,0,0
2017-09-12T15:01:18Z,0,0,0,0,0
2017-09-12T15:01:19Z,0,0,0,0,0
2017-09-12T15:01:20Z,0,0,0,0,0
2017-09-12T15:01:21Z,0,0,0,0,0
2017-09-12T15:01:22Z,9,0,0,1,9
2017-09-12T15:01:23Z,0,0,0,0,0
2017-09-12T15:01:24Z,0,0,0,0,0
2017-09-12T15:01:25Z,0,0,0,0,0
2017-09-12T15:01:26Z,0,0,0,0,0
2017-09-12T15:01:27Z,0,0,0,0,0
2017-09-12T15:01:28Z,0,0,0,0,0
2017-09-12T15:01:29Z,0,0,0,0,0
2017-09-12T15:01:30Z,0,0,0,0,0
2017-09-12T15:01:31Z,0,0,0,0,0
2017-09-12T15:01:32Z,0,0,0,0,0
2017-09-12T15:01:33Z,0,0,0,0,0
2017-09-12T15:01:34Z,0,0,0,0,0
2017-09-12T15:01:35Z,0,0,0,0,0
2017-09-12T15:01:36Z,0,0,0,0,0
2017-09-12T15:01:37Z,0,0,0,0,0
2017-09-12T15:01:38Z,0,0,0,0,0
2017-09-12T15:01:39Z,0,0,0,0,0
2017-09-12T15:01:40Z,0,0,0,0,0
2017-09-12T15:01:41Z,22,34,0,0,41
2017-09-12T15:01:42Z,2,67,0,1,68
2017-09-12T15:01:43Z,0,0,0,0,0
2017-09-12T15:01:44Z,0,0,0,0,0
2017-09-12T15:01:45Z,0,0,0,0,0
2017-09-12T15:01:46Z,0,0,0,0,0
2017-09-12T15:01:47Z,0,0,0,0,0
2017-09-12T15:01:48Z,0,0,0,0,0
2017-09-12T15:01:49Z,0,0,0,0,0
2017-09-12T15:01:50Z,0,0,0,0,0
2017-09-12T15:01:51Z,0,0,0,0,0
2017-09-12T15:01:52Z,0,0,0,0,0
2017-09-12T15:01:53Z,0,0,0,0,0
2017-09-12T15:01:54Z,0,0,0,0,0
2017-09-12T15:01:55Z,0,0,0,0,0
2017-09-12T15:01:56Z,0,0,0,0,0
2017-09-12T15:01:57Z,35,0,0,0,35
2017-09-12T15:01:58Z,2,0,0,0,2
2017-09-12T15:01:59Z,0,0,0,0,0
2017-09-12T15:02:00Z,0,0,0,0,0
2017-09-12T15:02:01Z,0,0,0,0,0
2017-09-12T15:02:02Z,0,0,0,0,0
2017-09-12T15:02:03Z,0,0,0,0,0
2017-09-12T15:02:04Z,0,0,0,0,0
2017-09-12T15:02:05Z,0,0,0,0,0
2017-09-12T15:02:06Z,0,0,0,0,0
2017-09-12T15:02:07Z,0,0,0,0,0
2017-09-12T15:02:08Z,0,0,0,0,0
2017-09-12T15:02:09Z,0,0,0,0,0
2017-09-12T15:02:10Z,0,0,0,0,0
2017-09-12T15:02:11Z,0,0,0,0,0
2017-09-12T15:02:12Z,0,0,0,0,0
2017-09-12T15:02:13Z,0,0,0,0,0
2017-09-12T15:02:14Z,0,0,0,0,0
2017-09-12T15:02:15Z,0,0,0,0,0
2017-09-12T15:02:16Z,0,0,0,0,0
2017-09-12T15:02:17Z,0,0,0,0,0
2017-09-12T15:02:18Z,0,0,0,0,0
2017-09-12T15:02:19Z,0,0,0,0,0
2017-09-12T15:02:20Z,0,0,0,0,0
2017-09-12T15:02:21Z,0,0,0,0,0
2017-09-12T15:02:22Z,0,0,0,0,0
2017-09-12T15:02:23Z,0,0,0,0,0
2017-09-12T15:02:24Z,0,0,0,0,0
2017-09-12T15:02:25Z,0,0,0,0,0
2017-09-12T15:02:26Z,0,0,0,0,0
2017-09-12T15:02:27Z,0,0,0,0,0
2017-09-12T15:02:28Z,0,0,0,0,0
2017-09-12T15:02:29Z,0,0,0,0,0
2017-09-12T15:02:30Z,0,0,0,0,0
2017-09-12T15:02:31Z,0,0,0,0,0
2017-09-12T15:02:32Z,0,0,0,0,0
2017-09-12T15:02:33Z,0,0,0,0,0
2017-09-12T15:02:34Z,0,0,0,0,0
2017-09-12T15:02:35Z,0,0,0,0,0
2017-09-12T15:02:36Z,0,0,0,0,0
2017-09-12T15:02:37Z,0,0,0,0,0
2017-09-12T15:02:38Z,0,0,0,0,0
2017-09-12T15:02:39Z,0,11,0,0,11
2017-09-12T15:02:40Z,49,115,36,1,131
2017-09-12T15:02:41Z,223,14,117,1,253
2017-09-12T15:02:42Z,181,63,107,0,220
2017-09-12T15:02:43Z,47,1,8,1,48
2017-09-12T15:02:44Z,105,37,26,0,115
2017-09-12T15:02:45Z,128,5,9,1,129
2017-09-12T15:02:46Z,75,16,17,0,79
2017-09-12T15:02:47Z,15,0,3,1,16
2017-09-12T15:02:48Z,70,11,48,0,86
2017-09-12T15:02:49Z,135,14,56,1,147
2017-09-12T15:02:50Z,74,0,0,0,74
2017-09-12T15:02:51Z,63,0,1,1,64
2017-09-12T15:02:52Z,0,0,0,0,0
2017-09-12T15:02:53Z,0,0,0,0,0
2017-09-12T15:02:54Z,0,0,0,0,0
2017-09-12T15:02:55Z,0,0,0,0,0
2017-09-12T15:02:56Z,0,0,0,0,0
2017-09-12T15:02:57Z,0,0,0,0,0
2017-09-12T15:02:58Z,0,0,0,0,0
2017-09-12T15:02:59Z,0,0,0,0,0
2017-09-12T15:03:00Z,0,0,0,0,0
2017-09-12T15:03:01Z,1,18,0,0,19
2017-09-12T15:03:02Z,10,0,0,0,10
2017-09-12T15:03:03Z,29,0,0,1,29
2017-09-12T15:03:04Z,0,11,0,0,11
2017-09-12T15:03:05Z,10,0,0,0,10
2017-09-12T15:03:06Z,24,0,0,1,24
2017-09-12T15:03:07Z,4,0,0,0,4
2017-09-12T15:03:08Z,6,0,0,0,6
2017-09-12T15:03:09Z,0,0,0,0,0
2017-09-12T15:03:10Z,0,0,0,0,0
2017-09-12T15:03:11Z,5,0,0,1,5
2017-09-12T15:03:12Z,28,47,0,0,55
2017-09-12T15:03:13Z,12,0,0,0,12
2017-09-12T15:03:14Z,0,0,0,0,0
2017-09-12T15:03:15Z,0,0,0,0,0
2017-09-12T15:03:16Z,0,0,0,0,0
2017-09-12T15:03:17Z,0,0,0,0,0
2017-09-12T15:03:18Z,11,0,0,0,11
2017-09-12T15:03:19Z,31,0,0,1,31
2017-09-12T15:03:20Z,12,0,0,0,12
2017-09-12T15:03:21Z,12,16,0,0,20
2017-09-12T15:03:22Z,18,17,6,0,26
2017-09-12T15:03:23Z,0,0,0,0,0
2017-09-12T15:03:24Z,3,0,0,1,3
2017-09-12T15:03:25Z,0,0,0,0,0
2017-09-12T15:03:26Z,0,0,0,0,0
2017-09-12T15:03:27Z,32,0,0,0,32
2017-09-12T15:03:28Z,95,2,4,1,96
2017-09-12T15:03:29Z,52,107,46,1,128
2017-09-12T15:03:30Z,77,12,3,1,78
2017-09-12T15:03:31Z,88,12,0,0,89
2017-09-12T15:03:32Z,32,0,0,0,32
2017-09-12T15:03:33Z,0,0,0,0,0
2017-09-12T15:03:34Z,0,0,0,0,0
2017-09-12T15:03:35Z,0,0,0,0,0
2017-09-12T15:03:36Z,0,0,0,0,0
2017-09-12T15:03:37Z,0,0,0,0,0
2017-09-12T15:03:38Z,49,73,39,1,97
2017-09-12T15:03:39Z,6,35,12,0,38
2017-09-12T15:03:40Z,0,10,0,0,10
2017-09-12T15:03:41Z,0,0,0,0,0
2017-09-12T15:03:42Z,45,10,5,1,47
2017-09-12T15:03:43Z,21,17,4,0,28
2017-09-12T15:03:44Z,18,0,0,0,18
2017-09-12T15:03:45Z,15,39,3,1,42
2017-09-12T15:03:46Z,16,72,0,0,74
2017-09-12T15:03:47Z,84,57,17,0,103
2017-09-12T15:03:48Z,42,14,0,1,45
2017-09-12T15:03:49Z,0,0,0,0,0
2017-09-12T15:03:50Z,0,0,0,0,0
2017-09-12T15:03:51Z,0,0,0,0,0
2017-09-12T15:03:52Z,0,0,0,0,0
2017-09-12T15:03:53Z,0,0,0,0,0
2017-09-12T15:03:54Z,0,0,0,0,0
